timestamp,arbitration_id,extended,remote,error,dlc,data
1753812802.3894444,0x1cf,0,0,0,8,gAUAAAAEAAs=
1753812802.3895657,0x1dc,0,0,0,4,AgLvDQ==
1753812802.3895717,0x1ed,0,0,0,3,Af8N
1753812802.393513,0x156,0,0,0,6,ACsAAAcX
1753812802.3935556,0x1fb,0,0,0,1,HA==
1753812802.3936205,0x1e2,0,0,0,4,EFXwOg==
1753812802.3952956,0x91,0,0,0,8,gAAIEgUAACQ=
1753812802.395347,0x19b,0,0,0,5,AAAAACE=
1753812802.396827,0x183,0,0,0,8,AAAAMAAAADY=
1753812802.398207,0x133,0,0,0,5,AAAAABA=
1753812802.398237,0x13c,0,0,0,8,AAwANwAABB0=
1753812802.3983645,0x158,0,0,0,8,AAAAAAAAABk=
1753812802.398543,0x161,0,0,0,8,BXgFeCAIAB0=
1753812802.3988209,0x17c,0,0,0,8,AAAC8AAAABI=
1753812802.3990183,0x18e,0,0,0,3,CAAY
1753812802.3990374,0x191,0,0,0,8,AQAAoUCAfw8=
1753812802.3992257,0x1a6,0,0,0,8,BAAgUk+AAKU=
1753812802.4033933,0x156,0,0,0,6,ACsAAAcm
1753812802.4043994,0x1eb,0,0,0,2,AA4=
1753812802.4044197,0x91,0,0,0,8,gAAIFgUAAD8=
1753812802.4044218,0x19b,0,0,0,5,AAAAADA=
1753812802.4051003,0x1a4,0,0,0,8,AGUQAAAAABw=
1753812802.4052405,0x183,0,0,0,8,AAAAKwAAAA8=
1753812802.4054916,0x1a8,0,0,0,4,AAAAFA==
1753812802.4057765,0x1aa,0,0,0,8,f/8AAAAAZRM=
1753812802.4058135,0x1b0,0,0,0,7,AAAAAAABVg==
1753812802.4064963,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812802.4065588,0x1ea,0,0,0,8,AAAAAAAAAB4=
1753812802.4065683,0x255,0,0,0,8,AAAAAFVV2H4=
1753812802.4082506,0x133,0,0,0,5,AAAAAC8=
1753812802.408285,0x13c,0,0,0,8,AAwANwAABCw=
1753812802.4083748,0x158,0,0,0,8,AAAAAAAAACg=
1753812802.4083793,0x161,0,0,0,8,BXgFeCAIACw=
1753812802.4090095,0x17c,0,0,0,8,AAAC8AAAACE=
1753812802.409026,0x18e,0,0,0,3,CAAn
1753812802.409562,0x191,0,0,0,8,AQAAoUCAfx4=
1753812802.4095805,0x1cf,0,0,0,8,gAUAAAAEABo=
1753812802.4095821,0x1dc,0,0,0,4,AgLwGg==
1753812802.4095836,0x1ed,0,0,0,3,Af8c
1753812802.41032,0x372,0,0,0,2,IBk=
1753812802.4103394,0x555,0,0,0,5,AAAAACc=
1753812802.413694,0x156,0,0,0,6,ACsAAAc1
1753812802.4137743,0x1e2,0,0,0,4,EFXwDQ==
1753812802.4137785,0x1fb,0,0,0,1,Kw==
1753812802.414924,0x91,0,0,0,8,gAAIGgUAAA4=
1753812802.4149609,0x19b,0,0,0,5,AAAAAAM=
1753812802.4166944,0x183,0,0,0,8,AAAAJwAAABI=
1753812802.418032,0x133,0,0,0,5,AAAAAD4=
1753812802.418052,0x13c,0,0,0,8,AAwANwAABDs=
1753812802.418281,0x158,0,0,0,8,AAAAAAAAADc=
1753812802.4184403,0x161,0,0,0,8,BXgFeCAIADs=
1753812802.4186306,0x17c,0,0,0,8,AAAC8AAAADA=
1753812802.4186597,0x18e,0,0,0,3,CAA2
1753812802.4190338,0x191,0,0,0,8,AQAAoUCAfy0=
1753812802.41933,0x1a6,0,0,0,8,BAAgUk+AALQ=
1753812802.419539,0x21e,0,0,0,7,AABHUiRsKw==
1753812802.4199822,0x221,0,0,0,3,R/2i
1753812802.419999,0x294,0,0,0,8,BBYABwJEACs=
1753812802.4201593,0x295,0,0,0,4,AAAAJg==
1753812802.4233665,0x156,0,0,0,6,ACsAAAcI
1753812802.423742,0x39,0,0,0,3,AAAq
1753812802.4241781,0x305,0,0,0,7,gFQAAAAAPA==
1753812802.4242074,0x1eb,0,0,0,2,AB0=
1753812802.4244244,0x91,0,0,0,8,gAAIFgUAABE=
1753812802.4250195,0x35e,0,0,0,3,ACgX
1753812802.4250407,0x19b,0,0,0,5,AAAAABI=
1753812802.425043,0x1a4,0,0,0,8,AGUQAAAAACs=
1753812802.4255044,0x183,0,0,0,8,AAAALAAAACw=
1753812802.4256155,0x1a8,0,0,0,4,AAAAIw==
1753812802.4256256,0x1aa,0,0,0,8,f/8AAAAAZSI=
1753812802.426081,0x1b0,0,0,0,7,AAAAAAABZQ==
1753812802.4261482,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812802.4262714,0x1ea,0,0,0,8,AAAAAAAAAC0=
1753812802.4283566,0x133,0,0,0,5,AAAAAAE=
1753812802.4283733,0x13c,0,0,0,8,AAwANwAABA4=
1753812802.4283755,0x158,0,0,0,8,AAAAAAAAAAo=
1753812802.428437,0x161,0,0,0,8,BXgFeCAIAA4=
1753812802.4290802,0x17c,0,0,0,8,AAAC8AAAAAM=
1753812802.4290996,0x18e,0,0,0,3,CAAJ
1753812802.4291022,0x191,0,0,0,8,AQAAoUCAfzw=
1753812802.4296765,0x1cf,0,0,0,8,gAUAAAAEACk=
1753812802.4297087,0x1dc,0,0,0,4,AgLwKQ==
1753812802.4297855,0x1ed,0,0,0,3,Af8r
1753812802.4334433,0x156,0,0,0,6,ACsAAAcX
1753812802.4335933,0x1e2,0,0,0,4,EFXwHA==
1753812802.434105,0x1fb,0,0,0,1,Og==
1753812802.4346206,0x91,0,0,0,8,gAAIEgUAACQ=
1753812802.4346359,0x19b,0,0,0,5,AAAAACE=
1753812802.436407,0x183,0,0,0,8,AAAAKAAAAD8=
1753812802.438189,0x133,0,0,0,5,AAAAABA=
1753812802.4382045,0x13c,0,0,0,8,AAwANwAABB0=
1753812802.4382062,0x158,0,0,0,8,AAAAAAAAABk=
1753812802.438498,0x161,0,0,0,8,BXgFeCAIAB0=
1753812802.438527,0x17c,0,0,0,8,AAAC7gAAABU=
1753812802.4388165,0x18e,0,0,0,3,CAAY
1753812802.4391222,0x191,0,0,0,8,AQAAoUCAfw8=
1753812802.439668,0x1a6,0,0,0,8,BAAgUk+AAIc=
